problem_id,problem_text,answer,hint
2374,"Найдите значение выражения $\dfrac{17}{5} :\dfrac{34}{3} +1,3$.",1.6,Десятичную в обыкновенную
4723,"В компании из 30 человек 25 пользуются социальной сетью «Одноклассники», а 10~--- социальной сетью «ВКонтакте». Выберите утверждения, которые верны при указанных условиях.

\begin{center}
\begin{tabularx}{\textwidth}{p{0.1cm}X}  
1) & В этой компании найдётся 10 человек, которые не пользуются ни сетью «Одноклассники», ни сетью «ВКонтакте». \\ 
2) & В этой компании найдётся хотя бы 5 человек, пользующихся обеими сетями. \\ 
3) & Не найдётся ни одного человека из этой компании, пользующегося только сетью «Одноклассники». \\ 
4) & Не более 10 человек из этой компании пользуются обеими сетями. \\ 
\end{tabularx}\end{center}

В ответе запишите номера выбранных утверждений без пробелов, запятых и~других дополнительных символов.",24,Диаграмма Венна
7135,"Число дорожно-транспортных происшествий (ДТП) в летний период составило 0,68 числа ДТП в зимний период. На сколько процентов уменьшилось число дорожно-транспортных происшествий летом по сравнению с зимой?",32,дробь в проценты
5814,Найдите значение выражения $\dfrac{2\strut^{-5} \cdot 2\strut^{9} }{2\strut^{-4} } $.,256,свойства степени
9237,"Путешественник из Москвы хочет посетить четыре города Золотого кольца России: Владимир, Ярославль, Суздаль и Ростов. Турагентство предлагает маршруты с посещением некоторых городов Золотого кольца. Сведения о стоимости билетов и маршрутах представлены в таблице.

\begin{center}
\begin{tabular}{|c|c|c|c|}
\hline
Номер маршрута&Посещаемые города&Стоимость (руб.)\\\hline
1&Суздаль, Ярославль, Владимир&3900 \\\hline
2&Ростов, Владимир&2400 \\\hline
3&Ярославль, Владимир&2100 \\\hline
4&Суздаль&1650 \\\hline
5&Ростов, Суздаль&2700 \\\hline
6&Ярославль, Ростов&2350 \\\hline
\end{tabular}
\end{center}

Какие маршруты должен выбрать путешественник, чтобы побывать во всех четырёх городах и затратить менее 5000 рублей?

В ответе укажите какой-нибудь один набор номеров маршрутов без пробелов, запятых и других дополнительных символов.",53,перебор
10703,"В конце четверти Вовочка выписал подряд все свои отметки по одному из предметов, их оказалось 5, и поставил 
между некоторыми из них знаки умножения. Произведение получившихся чисел оказалось равным 5575. Какая отметка выходит у Вовочки в четверти по этому предмету, если учитель ставит только отметки «2», «3», «4» или «5» и итоговая отметка в четверти является средним арифметическим всех текущих отметок, округлённая по правилам округления? (Например, 3,2 округляется до 3; 4,5~--- до 5; а 2,8~--- до 3.)",3,разложитьна простые множители
9621,"Найдите четырёхзначное число, которое в 11 раз меньше куба некоторого натурального числа. В ответе укажите какое-нибудь одно такое число.",27000; 64000,составить неравенство
4318,Найдите значение выражения $\dfrac{\sqrt{8} }{\sqrt{2} } $.,2,внести под общий корень
7549,"Среднее гармоническое трёх чисел $a$, $b$ и $c$ вычисляется по формуле $h=\left(\dfrac{\dfrac{1}{a} +\dfrac{1}{b} +\dfrac{1}{c} }{3} \right)^{-1}$. Найдите среднее гармоническое чисел $\dfrac{1}{9} $, $\dfrac{1}{10}$ и $\dfrac{1}{11}$.",0.1,обратить дроби
4405,"Найдите $\tg x$, если $\sin x=\dfrac{6}{\sqrt{61} } $ и $0{}^\circ <x<90{}^\circ $.",1.2,теорема пифагора или основное триг тождество
13660,Смешали 8 литров 15-процентного раствора вещества с 12 литрами \linebreak40-процентного раствора этого же вещества. Сколько процентов составляет концентрация получившегося раствора?,30,найти среднее по весу
5206,Найдите корень уравнения $\sqrt{6x+13} -11=0$.,18,"уединить корень,возвести в квадрат"
5878,Найдите значение выражения $\dfrac{49\strut^{3} }{7\strut^{3} } $.,343,привести к оснванию 7 и сократить дробь
