problem_id,problem_text,answer
9625,"Найдите четырёхзначное число, которое в 14 раз меньше куба некоторого натурального числа. В ответе укажите какое-нибудь одно такое число.",1568
1064,"Найдите корень уравнения $\log _{\frac{1}{2} } \left(5x-36\right)=2$.

 \textbf{}",7.25
8511,"Система навигации самолёта информирует пассажира о том, что полёт проходит на высоте 38~000 футов. Выразите высоту полёта в метрах. Считайте, что 1 фут равен 30,5 см.",11590
9692,"Каждому из четырёх неравенств в левом столбце соответствует одно из решений в правом столбце. Установите соответствие между неравенствами и~их решениями.


\begin{center}
\hyphenpenalty=10000\renewcommand{\arraystretch}{1.5}
\begin{tabularx}{\textwidth}{{>{\raggedright}X>{\raggedright\arraybackslash}X}}
\multicolumn{1}{C}{НЕРАВЕНСТВА} & \multicolumn{1}{C}{РЕШЕНИЯ} \\
А) $x^{2}+11x-12\le 0$ & 1) $-1\le x \le 12$ \\ 
Б) $x^{2}-11x-12\le 0$ & 2) $-12\le x \le 1$ \\ 
В) $x^{2} +7x+12\ge 0$ & 3) $x \le 3$ или $x \ge 4$ \\ 
Г) $x^{2} -7x+12\ge 0$ & 4) $x \le -4$ или $x \ge -3$ \\ 
\end{tabularx}\end{center}\vspace{\medskip}

Впишите в приведённую в ответе таблицу под каждой буквой соответствующий номер решения.

\vspace{\baselineskip}\begin{tabular}{|*{4}{C|}} \hline А & Б & В & Г \\ \hline & & &  \\ \hline\end{tabular}\end{center}\vspace{\medskip}",2143
221,"Городской бюджет составляет 84~млн рубей, а расходы на одну из его статей составили 45\%. Сколько миллионов рублей потрачено на эту статью бюджета?

 \textbf{}",37.8
3112,Найдите значение выражения $\left(6\sqrt{19} +4\right)\cdot \left(6\sqrt{19} -4\right)$.,668
4636,Найдите значение выражения $\dfrac{7}{12} +\dfrac{5}{14} \cdot \dfrac{7}{6}$.,1
4776,Сырок стоит 13~рублей. Какое наибольшее число сырков можно купить на 70~рублей?,5
4816,В пачке 250~листов бумаги формата А4. За неделю в офисе расходуется 1400~листов. Какого наименьшего количества пачек бумаги хватит на 7~недель?,40
5032,"В доме, в котором живёт Оля, 9~этажей и несколько подъездов. На~каждом этаже находится по~6 квартир. Оля живёт в квартире №~98. В~каком подъезде живёт Оля?",2
